name,birth,death
Jesus Christ,BC6,33
Socrates,BC470,BC399
Plato,BC428,BC348
Aristotle,
Alexsandros,
Rene Decarte
Copernicus
Johnhaness Kepler
Galileo Galilei
Issac Newton
Emmanual Kant
Hegel
Napoleon
Adam Smith
Voltaire
James Hutton
James Watt
Sigmund Freud
Carl Gustav Jung
Fridrich Niche
Arthur Schopenhauer
Karl Marx
Friedrich Engels
Max Weber
Max Horkheimer
Theodor Adorno
Axel Honneth
Charles Darwin
Alfred Russel Wallce
Albert Einstein
Faraday
Maxwell
Louis De Broglie
Max Plank
Werner Heisenberg
Niels Bohr
Erwin Schrodinger
Paul Dirac
